               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.056123,            0.012363,            0.018836,             0.93871,               0.225,             0.31867,             0.17242,            0.049316,           0.0057273,            0.015717,            0.007624,            0.007624,            0.007624
                  74,            0.047293,           0.0089869,            0.018376,             0.93686,             0.19735,             0.23822,             0.15536,            0.036793,           0.0062394,            0.015228,            0.007591,            0.007591,            0.007591
                  75,            0.039701,            0.009125,            0.021666,             0.97192,             0.19167,             0.28543,             0.16419,            0.037017,           0.0063796,            0.014714,            0.007558,            0.007558,            0.007558
                  76,            0.042348,             0.01193,            0.012243,             0.97192,             0.19167,             0.28543,             0.16419,            0.037017,           0.0063796,            0.014714,            0.007525,            0.007525,            0.007525
                  77,            0.041894,            0.010401,             0.01638,             0.99495,             0.20833,             0.34038,             0.21864,             0.03386,           0.0061812,              0.0147,            0.007492,            0.007492,            0.007492
                  78,            0.037713,            0.014115,            0.017757,             0.94327,             0.22718,             0.32787,             0.22676,            0.037492,           0.0059328,             0.01497,            0.007459,            0.007459,            0.007459
                  79,            0.046166,            0.013095,            0.015498,             0.94327,             0.22718,             0.32787,             0.22676,            0.037492,           0.0059328,             0.01497,            0.007426,            0.007426,            0.007426
                  80,            0.043444,            0.010369,            0.017874,             0.99427,             0.24167,             0.35329,             0.23782,            0.032032,           0.0057945,            0.015698,            0.007393,            0.007393,            0.007393
                  81,            0.039145,            0.010239,              0.0175,             0.97077,               0.225,             0.39183,             0.28184,            0.039212,           0.0061584,            0.014278,             0.00736,             0.00736,             0.00736
                  82,            0.042971,            0.010285,            0.018618,             0.97077,               0.225,             0.39183,             0.28184,            0.039212,           0.0061584,            0.014278,            0.007327,            0.007327,            0.007327
                  83,            0.036758,           0.0098821,            0.014156,                   1,             0.24875,             0.32232,               0.218,            0.029496,           0.0062852,            0.013504,            0.007294,            0.007294,            0.007294
                  84,            0.036059,            0.010468,            0.012704,             0.96346,             0.23333,             0.37548,             0.25305,            0.038756,           0.0062943,            0.013257,            0.007261,            0.007261,            0.007261
                  85,            0.042703,           0.0094112,              0.0221,             0.96346,             0.23333,             0.37548,             0.25305,            0.038756,           0.0062943,            0.013257,            0.007228,            0.007228,            0.007228
                  86,            0.039035,            0.012382,            0.017193,             0.99125,             0.22983,              0.3924,             0.28816,            0.029329,           0.0060711,            0.013976,            0.007195,            0.007195,            0.007195
                  87,            0.037988,            0.013166,            0.016488,             0.82012,               0.375,             0.36557,             0.25039,            0.039066,           0.0061307,            0.013376,            0.007162,            0.007162,            0.007162
                  88,            0.046369,            0.007786,            0.013737,             0.82012,               0.375,             0.36557,             0.25039,            0.039066,           0.0061307,            0.013376,            0.007129,            0.007129,            0.007129
                  89,            0.036534,           0.0095473,            0.017408,             0.94847,               0.225,             0.33948,             0.24559,            0.029709,           0.0063763,            0.012675,            0.007096,            0.007096,            0.007096
                  90,            0.028436,            0.009884,            0.014101,              0.9771,               0.225,             0.34819,             0.24441,            0.033439,           0.0062165,            0.012434,            0.007063,            0.007063,            0.007063
                  91,            0.040957,            0.012789,            0.018811,              0.9771,               0.225,             0.34819,             0.24441,            0.033439,           0.0062165,            0.012434,             0.00703,             0.00703,             0.00703
                  92,             0.03707,            0.010604,            0.013669,             0.89885,              0.3125,             0.38329,              0.2691,            0.027826,           0.0060623,            0.012321,            0.006997,            0.006997,            0.006997
                  93,            0.033835,            0.011247,             0.01392,             0.85725,               0.375,             0.41367,             0.28508,            0.030141,           0.0058854,            0.012332,            0.006964,            0.006964,            0.006964
                  94,            0.036262,           0.0096788,             0.01673,             0.85725,               0.375,             0.41367,             0.28508,            0.030141,           0.0058854,            0.012332,            0.006931,            0.006931,            0.006931
                  95,            0.035811,            0.010102,            0.016362,             0.86214,               0.375,             0.46967,             0.30986,            0.028456,           0.0056798,            0.012215,            0.006898,            0.006898,            0.006898
                  96,            0.031983,           0.0097812,            0.011115,             0.83536,               0.375,             0.41304,             0.25504,            0.037513,           0.0059862,            0.011962,            0.006865,            0.006865,            0.006865
                  97,            0.040767,            0.010381,            0.014558,             0.83536,               0.375,             0.41304,             0.25504,            0.037513,           0.0059862,            0.011962,            0.006832,            0.006832,            0.006832
                  98,            0.037845,            0.011876,             0.01854,             0.86758,               0.375,             0.47737,             0.31206,            0.028512,           0.0056818,            0.011771,            0.006799,            0.006799,            0.006799
                  99,            0.033357,           0.0092541,            0.014358,             0.88012,               0.375,             0.56914,             0.37411,            0.032282,           0.0055861,            0.011945,            0.006766,            0.006766,            0.006766
                 100,            0.040078,           0.0086053,            0.015315,             0.88012,               0.375,             0.56914,             0.37411,            0.032282,           0.0055861,            0.011945,            0.006733,            0.006733,            0.006733
                 101,            0.038376,           0.0089085,            0.013388,             0.94708,               0.375,             0.57552,             0.40334,            0.027239,           0.0054822,            0.011972,              0.0067,              0.0067,              0.0067
                 102,            0.028875,           0.0091045,            0.011848,             0.81141,              0.4375,             0.55191,             0.36989,            0.038101,           0.0058098,            0.011604,            0.006667,            0.006667,            0.006667
                 103,            0.042725,            0.012205,            0.013548,             0.81141,              0.4375,             0.55191,             0.36989,            0.038101,           0.0058098,            0.011604,            0.006634,            0.006634,            0.006634
                 104,            0.039548,           0.0091874,            0.014522,             0.80326,              0.4375,             0.54913,             0.38173,             0.03094,           0.0057764,            0.011246,            0.006601,            0.006601,            0.006601
                 105,            0.036465,            0.009839,            0.014887,             0.92348,             0.36667,             0.57233,             0.36847,            0.031165,           0.0058773,            0.011299,            0.006568,            0.006568,            0.006568
                 106,            0.033999,            0.010099,            0.014184,             0.92348,             0.36667,             0.57233,             0.36847,            0.031165,           0.0058773,            0.011299,            0.006535,            0.006535,            0.006535
                 107,            0.034112,           0.0092111,            0.010122,             0.92742,             0.43693,             0.60622,             0.43462,            0.028992,           0.0059731,            0.011401,            0.006502,            0.006502,            0.006502
                 108,            0.031914,            0.012687,            0.012325,             0.87825,              0.4375,             0.61973,             0.45414,            0.022755,           0.0058026,            0.010692,            0.006469,            0.006469,            0.006469
                 109,            0.031083,            0.010853,            0.013418,             0.87825,              0.4375,             0.61973,             0.45414,            0.022755,           0.0058026,            0.010692,            0.006436,            0.006436,            0.006436
                 110,            0.028757,           0.0093099,            0.012701,             0.86931,              0.4375,             0.59671,             0.40176,            0.029838,           0.0056734,            0.010493,            0.006403,            0.006403,            0.006403
                 111,            0.032744,            0.010198,            0.013536,             0.91969,             0.42959,             0.56549,             0.40576,            0.029661,           0.0054913,            0.010398,             0.00637,             0.00637,             0.00637
                 112,            0.039554,           0.0086647,           0.0083079,             0.91969,             0.42959,             0.56549,             0.40576,            0.029661,           0.0054913,            0.010398,            0.006337,            0.006337,            0.006337
                 113,            0.034658,           0.0076882,            0.013113,             0.95486,             0.43175,             0.58891,             0.39539,            0.025771,           0.0054402,            0.010242,            0.006304,            0.006304,            0.006304
                 114,            0.027973,           0.0083144,            0.010398,             0.88695,              0.4375,             0.60252,             0.43408,            0.030817,            0.005497,            0.010155,            0.006271,            0.006271,            0.006271
                 115,            0.035729,            0.010157,            0.011464,             0.88695,              0.4375,             0.60252,             0.43408,            0.030817,            0.005497,            0.010155,            0.006238,            0.006238,            0.006238
                 116,            0.032888,           0.0088402,           0.0088433,             0.83737,             0.52083,             0.62792,             0.46723,            0.024488,           0.0051847,            0.010198,            0.006205,            0.006205,            0.006205
                 117,            0.027561,           0.0093382,           0.0098207,             0.77836,             0.52083,              0.6344,             0.45317,            0.022973,           0.0051832,            0.010291,            0.006172,            0.006172,            0.006172
                 118,            0.028774,           0.0061366,           0.0094283,             0.77836,             0.52083,              0.6344,             0.45317,            0.022973,           0.0051832,            0.010291,            0.006139,            0.006139,            0.006139
                 119,            0.031917,            0.007676,            0.011984,             0.81405,             0.52083,             0.69832,             0.52055,            0.024635,            0.005167,            0.010284,            0.006106,            0.006106,            0.006106
                 120,            0.030822,            0.010981,            0.012356,             0.79447,             0.52083,             0.66801,             0.48039,            0.028094,           0.0049896,            0.010424,            0.006073,            0.006073,            0.006073
                 121,            0.036605,           0.0091763,            0.010127,             0.79447,             0.52083,             0.66801,             0.48039,            0.028094,           0.0049896,            0.010424,             0.00604,             0.00604,             0.00604
                 122,            0.033789,           0.0064923,           0.0085356,             0.98436,             0.43476,             0.65527,             0.43722,            0.025625,           0.0047245,            0.010873,            0.006007,            0.006007,            0.006007
                 123,            0.030575,           0.0099486,            0.012753,              0.9627,             0.42959,              0.6777,             0.47577,            0.030793,             0.00475,            0.010943,            0.005974,            0.005974,            0.005974
                 124,            0.034787,           0.0096151,           0.0088855,              0.9627,             0.42959,              0.6777,             0.47577,            0.030793,             0.00475,            0.010943,            0.005941,            0.005941,            0.005941
                 125,             0.03129,           0.0090798,            0.011999,             0.59112,             0.52316,             0.69468,             0.51407,            0.024559,           0.0047681,            0.010292,            0.005908,            0.005908,            0.005908
                 126,            0.026414,           0.0088571,            0.011015,             0.56449,             0.53864,             0.69861,             0.48153,            0.027626,           0.0047452,            0.010825,            0.005875,            0.005875,            0.005875
                 127,            0.034326,           0.0073407,           0.0086061,             0.56449,             0.53864,             0.69861,             0.48153,            0.027626,           0.0047452,            0.010825,            0.005842,            0.005842,            0.005842
                 128,            0.029589,           0.0086613,           0.0086411,             0.61899,             0.53891,             0.70647,             0.53314,            0.021909,           0.0046573,            0.011673,            0.005809,            0.005809,            0.005809
                 129,            0.028105,           0.0093273,            0.012075,             0.59797,             0.60865,             0.70898,             0.48165,            0.028964,            0.004832,            0.010533,            0.005776,            0.005776,            0.005776
                 130,            0.035596,           0.0074456,            0.012957,             0.59797,             0.60865,             0.70898,             0.48165,            0.028964,            0.004832,            0.010533,            0.005743,            0.005743,            0.005743
